Lat ,Long
41.8794728,-87.63580748
41.86921678,-87.66249389
41.86573231,-87.61966864
41.86748423,-87.61915038
41.87365926,-87.6243595
41.87365926,-87.6243595
41.87365926,-87.6243595
41.86883411,-87.62600895
41.87365926,-87.6243595
41.87305962,-87.62611159
41.87365926,-87.6243595
41.88737641,-87.66144306
41.88458837,-87.62327256
41.87826992,-87.62052861
41.88683151,-87.62655609
41.88579631,-87.62964615
41.86403564,-87.61929707
41.86403564,-87.61929707
41.88209337,-87.63039165
41.88600583,-87.62082896
41.88600583,-87.62082896
41.88600583,-87.62082896
41.88600583,-87.62082896
41.88600583,-87.62082896
41.88569922,-87.65184383
41.8800751,-87.63245788
41.88600583,-87.62082896
41.8800751,-87.63245788
41.8800751,-87.63245788
41.88755604,-87.61965509
41.86570261,-87.62396591
41.88637482,-87.62467544
41.88755604,-87.61965509
41.87057299,-87.62844791
41.88786189,-87.62541304
41.88637482,-87.62467544
41.88755604,-87.61965509
41.8852378,-87.62778183
41.88637482,-87.62467544
41.87213527,-87.6287759
41.88637482,-87.62467544
41.8851095,-87.62462947
41.86183111,-87.62387913
41.88545388,-87.634069
41.88670967,-87.62930303
41.88188623,-87.63661833
41.8758026,-87.62573441
41.88188623,-87.63661833
41.88188623,-87.63661833
41.88475054,-87.61560396
41.88633942,-87.62083615
41.88463208,-87.62224799
41.88436188,-87.63316454
41.88436319,-87.63257407
41.88561899,-87.62616146
41.87797514,-87.63842217
41.86257324,-87.62418878
41.88464637,-87.6172485
41.88195188,-87.63662035
41.86257324,-87.62418878
41.87797514,-87.63842217
41.88195188,-87.63662035
41.86775147,-87.62597953
41.88670922,-87.6347109
41.87736776,-87.63385357
41.88241091,-87.63717471
41.88241091,-87.63717471
41.88670922,-87.6347109
41.88461562,-87.63668236
41.88461562,-87.63668236
41.87296972,-87.62900755
41.86230608,-87.60952225
41.86230608,-87.60952225
41.86607901,-87.62397407
41.88670659,-87.63162997
41.87305558,-87.62741781
41.87305558,-87.62741781
41.88185674,-87.63189616
41.87448117,-87.62935654
41.87273361,-87.62899897
41.87332434,-87.6290217
41.87285167,-87.62900326
41.88164539,-87.63220954
41.87285167,-87.62900326
41.88164539,-87.63220954
41.87930129,-87.63116779
41.88185674,-87.63189616
41.87930129,-87.63116779
41.87894998,-87.62625212
41.8835571,-87.6484324
41.8835571,-87.6484324
41.87216696,-87.6295768
41.8835571,-87.6484324
41.87525983,-87.62439667
41.8835571,-87.6484324
41.87525983,-87.62439667
41.8835571,-87.6484324
41.8835571,-87.6484324
41.8835571,-87.6484324
41.87525983,-87.62439667
41.8835571,-87.6484324
41.87216696,-87.6295768
41.87525983,-87.62439667
41.8835571,-87.6484324
41.87525983,-87.62439667
41.87525983,-87.62439667
41.8714442,-87.62607513
41.8714442,-87.62607513
41.86357752,-87.62421512
41.87748908,-87.63504471
41.87635921,-87.63088063
41.87677125,-87.63106138
41.87677257,-87.63092995
41.86539976,-87.62593557
41.86539976,-87.62593557
41.86539976,-87.62593557
41.8665204,-87.6256632
41.86101824,-87.6274171
41.87934194,-87.62841189
41.87934194,-87.62841189
41.86262829,-87.61503109
41.86403564,-87.61929707
41.86262829,-87.61503109
41.86132048,-87.62583588
41.86262829,-87.61503109
41.86262829,-87.61503109
41.86403564,-87.61929707
41.86403564,-87.61929707
41.87934194,-87.62841189
41.87953523,-87.63002421
41.87588847,-87.63188472
41.87588847,-87.63188472
41.87279887,-87.62433781
41.87279887,-87.62433781
41.88133481,-87.62633547
41.86900222,-87.62427007
41.87342663,-87.62611957
41.87342663,-87.62611957
41.86900222,-87.62427007
41.88451431,-87.64758485
41.86939111,-87.62732369
41.88584721,-87.62509486
41.87279887,-87.62433781
41.86534538,-87.6259326
41.8842567,-87.6498267
41.87279887,-87.62433781
41.87279887,-87.62433781
41.87279887,-87.62433781
41.87279887,-87.62433781
41.87279887,-87.62433781
41.87279887,-87.62433781
41.87279887,-87.62433781
41.87279887,-87.62433781
41.87279887,-87.62433781
41.87811851,-87.62680983
41.87929007,-87.63236273
41.88376122,-87.63256909
41.88376122,-87.63256909
41.86548227,-87.64672081
41.86548227,-87.64672081
41.87666158,-87.62442805
41.86548227,-87.64672081
41.87406368,-87.62613531
41.87523756,-87.62907785
41.88450331,-87.64828584
41.87278061,-87.63077151
41.88543167,-87.62611929
41.88342264,-87.62802165
41.87681397,-87.63162266
41.88624675,-87.66093333
41.88670774,-87.63079458
41.88670774,-87.63079458
41.86512195,-87.62080972
41.87856015,-87.63652387
41.88429596,-87.66077035
41.88429596,-87.66077035
41.86357752,-87.62421512
41.88157109,-87.65313285
41.88411358,-87.65808167
41.88441253,-87.65341893
41.86925517,-87.66006174
41.86925517,-87.66006174
41.8825402,-87.62453095
41.88602728,-87.62216627
41.88602728,-87.62216627
41.88583769,-87.62591897
41.87278061,-87.63077151
41.88424445,-87.65052712
41.88424445,-87.65052712
41.88053925,-87.63459246
41.88428084,-87.64845424
41.87651205,-87.63088559
41.87181181,-87.6243155
41.87181181,-87.6243155
41.87278061,-87.63077151
41.86775864,-87.6242567
41.88153575,-87.65558049
41.87148773,-87.62736964
41.8640026,-87.62393205
41.8640026,-87.62393205
41.8640026,-87.62393205
41.8640026,-87.62393205
41.8640026,-87.62393205
41.8640026,-87.62393205
41.8640026,-87.62393205
41.87947786,-87.63531103
41.8640026,-87.62393205
41.8640026,-87.62393205
41.8640026,-87.62393205
41.8640026,-87.62393205
41.8640026,-87.62393205
41.87174547,-87.62737703
41.8640026,-87.62393205
41.8640026,-87.62393205
41.8640026,-87.62393205
41.8640026,-87.62393205
41.8640026,-87.62393205
41.8640026,-87.62393205
41.8640026,-87.62393205
41.8640026,-87.62393205
41.8640026,-87.62393205
41.8640026,-87.62393205
41.8640026,-87.62393205
41.8640026,-87.62393205
41.8640026,-87.62393205
41.8640026,-87.62393205
41.88458627,-87.63101045
41.87949547,-87.63382966
41.86888971,-87.63909893
41.86888971,-87.63909893
41.88582829,-87.62613826
41.88582829,-87.62613826
41.88582829,-87.62613826
41.88582829,-87.62613826
41.88582829,-87.62613826
41.88582829,-87.62613826
41.88582829,-87.62613826
41.88582829,-87.62613826
41.88582829,-87.62613826
41.87714679,-87.62912123
41.87992331,-87.63880254
41.88055703,-87.63713178
41.88055703,-87.63713178
41.88055703,-87.63713178
41.87992331,-87.63880254
41.88649138,-87.66686458
41.88775652,-87.62551819
41.88775652,-87.62551819
41.88775652,-87.62551819
41.88775652,-87.62551819
41.88775652,-87.62551819
41.86403564,-87.61929707
41.8642488,-87.62393363
41.87666158,-87.62442805
41.88448745,-87.64919116
41.88448745,-87.64919116
41.88448745,-87.64919116
41.88448745,-87.64919116
41.88448745,-87.64919116
41.88448745,-87.64919116
41.88170933,-87.65806722
41.88780561,-87.61788172
41.88743652,-87.62634441
41.86920687,-87.66308737
41.88670756,-87.62788348
41.88670423,-87.62805356
41.88670423,-87.62805356
41.88670423,-87.62805356
41.88670756,-87.62788348
41.88670423,-87.62805356
41.87448117,-87.62935654
41.88593706,-87.63999015
41.87929007,-87.63236273
41.88550434,-87.61755078
41.87929007,-87.63236273
41.88550434,-87.61755078
41.88326585,-87.63876082
41.88550434,-87.61755078
41.88058227,-87.63120101
41.87929007,-87.63236273
41.88550434,-87.61755078
41.87929007,-87.63236273
41.88550434,-87.61755078
