Restaurant Name,Address,Failed inspection on,Alive for x years
CROWNE PLAZA CHICAGO - THE SILVERSMITH HOTEL,10-16 S WABASH AVE ,08/18/2010,0.8301369863013699
CULTURAL CENTER GOLDEN DINER,78 E WASHINGTON ST ,02/21/2014,2.6794520547945204
CURRENTS ON THE RIVER,200 S WACKER DR ,12/02/2010,2.6301369863013697
Custom House,500 S DEARBORN ST ,04/13/2010,3.0904109589041098
DELMONICO'S GOURMET,233 N MICHIGAN AVE ,03/07/2012,1.4712328767123288
DISCOVERY DAYS LEARNING ACADEMY,1417 W TAYLOR ST ,10/06/2011,4.164383561643835
DOMINO'S PIZZA,1234 S CANAL ST ,04/30/2013,0.21095890410958903
DOMINO'S PIZZA,1234 S CANAL ST ,06/19/2014,1.917808219178082
DQ LUXURY REFLEXOLOGY MASSAGE,910 S MICHIGAN AVE ,03/29/2012,4.306849315068493
DRAGONFLY MANDARIN,832 W RANDOLPH ST ,09/20/2010,3.9808219178082194
DUNKIN DONUTS,108 N STATE ST ,08/01/2017,0.0
DUNKINDONUTS,203 N LA SALLE ST ,08/02/2010,5.720547945205479
EINSTEIN BROS. BAGELS,75 E LAKE ST ,12/03/2010,2.83013698630137
EL FAMOUS BURRITO,2 S PEORIA ST ,07/13/2010,4.4
EPPYS CAFE & DELI,162 N FRANKLIN ST ,05/10/2012,2.5315068493150683
ERIK'S DELI,333 S State ST ,07/19/2013,1.0657534246575342
ERIK'S DELI,525 W VAN BUREN ST ,11/27/2017,0.15616438356164383
EUREST DINING SERVICES,801 S CANAL ST ,07/05/2016,0.11506849315068493
FALAFEL ISLAND,24 E ADAMS ST ,12/15/2015,0.0
FAST FOO'S,28 E JACKSON BLVD ,11/01/2010,2.3123287671232875
FEDERAL RESERVE CAFE,230 S LA SALLE ST ,05/04/2017,0.7232876712328767
FFT CAFE,30 S WACKER ,04/06/2010,7.693150684931507
FIORELLI PIZZA,945-947 W RANDOLPH ST ,05/30/2013,1.2493150684931507
FIRST MERIT PAVILION,1300 S LYNN WHITE DR ,05/25/2017,0.0136986301369863
FLAT TOP GRILL,30 S WABASH AVE ,07/02/2013,0.1917808219178082
FLAVOR 180,1511 S STATE ST ,03/22/2011,4.389041095890411
FLIRTY CUPCAKES,1030 W TAYLOR ST ,09/10/2014,2.73972602739726
FLO & SANTO,1310 S WABASH AVE ,01/19/2010,4.7753424657534245
FRENCH ACCENT,233 S WACKER DR ,11/30/2010,6.7972602739726025
FRESH CHIOCE,233 N MICHIGAN AVE ,08/02/2011,1.36986301369863
FRIENDSHIP ON THE LAKE,200 N LAKEFRONT DR ,05/21/2013,2.4712328767123286
FULTON MARKET,320 N MORGAN ST ,10/15/2015,1.473972602739726
G GYROS,17 S WABASH AVE ,08/19/2015,0.5698630136986301
GIORDIANO'S OF GREEKTOWN,815 W VAN BUREN ,10/29/2015,0.2465753424657534
GLORIS JEAN'S COFFEE,79 E MADISON ST ,07/18/2014,2.9315068493150687
GOOD STUFF EATERY,22 S WABASH AVE ,11/26/2014,2.9095890410958902
GRAHAM ELLIOT BISTRO,841 W RANDOLPH ST FL ,06/14/2016,1.378082191780822
GRAHAM ELLIOT BISTRO,841 W RANDOLPH ST FL ,12/28/2017,0.057534246575342465
GRANT PARK PACKING CO.,842 W LAKE ST ,11/20/2015,2.0054794520547947
GREEN APPLE GRILL & MORE,201 N CLARK ST ,12/15/2010,4.835616438356165
GREEN APPLE GRILL & MORE,201 N CLARK ST ,11/23/2015,0.0410958904109589
GRILLER'S,77 W JACKSON BLVD ,09/27/2010,5.989041095890411
GRUB RESTAURANT CHICAGO,1230 W TAYLOR ST ,10/02/2014,1.5863013698630137
GUCKENHEIMER CITY CAFE',111 E WACKER DR FL ,02/14/2012,1.7123287671232876
HAIFA CAFE,19 N WELLS ST ,06/22/2010,2.263013698630137
HAIFA CAFE,19 N WELLS ST ,03/28/2014,3.084931506849315
HAIFA CAFE AND FIRE CHICKEN,24 E ADAMS ST ,09/26/2013,0.12876712328767123
HALO ASIAN MIX,29 E ADAMS ST ,02/16/2011,3.3534246575342466
HALSTED STREET DELI & BAGEL,311 S WACKER DR ,10/24/2014,2.76986301369863
HANA RESTAURANT,1311 W TAYLOR ST ,03/20/2015,1.2191780821917808
HAROLD'S CHICKEN SHACK,636 S WABASH AVE ,09/14/2010,0.10136986301369863
Harolds Chicken Shack,804 W WASHINGTON BLVD ,11/02/2010,2.2465753424657535
HARRY'S SANDWICH SHOP,336 S DEARBORN ST ,02/27/2017,0.31232876712328766
HARVESTER CAFE,600 S MICHIGAN AVE ,08/16/2010,5.926027397260274
HAUTE SAUSAGE,335 S FRANKLIN ST ,10/18/2013,0.4712328767123288
HIDEOUT INN,35 E RIVERWALK SOUTH ,08/13/2015,1.2054794520547945
HONG KONG DELIGHT,1238 S CANAL ST ,03/13/2014,1.7561643835616438
HOTEL BURNHAM / ATWOOD CAFE,1 W WASHINGTON ST ,06/30/2011,5.449315068493151
HOTEL BURNHAM/ATWOOD CAFE,1 W WASHINGTON ST ,03/10/2010,1.441095890410959
HOTEL MONACO,225 N WABASH AVE ,02/06/2013,0.8465753424657534
HOULIHAN'S,111 E WACKER DR ,08/06/2010,5.632876712328767
HYATT REGENCY CHICAGO-J'S DELI,151 E WACKER DR ,10/06/2010,2.2246575342465755
I DREAM OF FALAFEL,331-333 S FRANKLIN ST ,05/26/2015,0.4794520547945205
Ichiban Sushi Cafe,1422 W Taylor ST ,02/26/2016,0.06575342465753424
JAFFA BAGELS,225 N MICHIGAN AVE ,08/17/2010,2.9945205479452053
JAFFA BAKERY,105 W MADISON ST ,04/02/2012,0.043835616438356165
Jaks Tap,901 W JACKSON BLVD ,10/04/2010,7.041095890410959
JAZZMAN'S CAFE,100 W RANDOLPH ST ,12/14/2010,3.03013698630137
JERSEY MIKE'S SUBS,26 E ROOSEVELT RD FL ,02/06/2013,2.23013698630137
JERSEY MIKES,26 E ROOSEVELT RD FL ,09/15/2014,1.3068493150684932
